Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7052762,2018-04-22 02:33:20,2018-04-22 01:59:38,169889496,51306627792,169889496,302,21625,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7052762/SRR7052762.1,SRX3983797,BYOOP,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP141738,PRJNA443011,,443011,SRS3208622,SAMN08777101,simple,1647806,lake water metagenome,Gp0217724,,,,,,,no,,,,,JGI,SRA694198,,public,ED258976DB4E962D157B5845CE154E0D,9CB28795C3416B70D93084BE7C05B382
SRR7985618,2018-10-09 15:46:22,2018-10-09 15:13:51,170380307,51454852714,170380307,302,21933,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR7985618/SRR7985618.1,SRX4818210,BYOOS,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164727,PRJNA443012,,443012,SRS3892759,SAMN08779383,simple,1647806,lake water metagenome,Gp0217725,,,,,,,no,,,,,JGI,SRA790982,,public,12E61627DA9D7FDD13DA7DE9A4671F47,441AB6399C1BC80547A994574BEC944D
SRR7988745,2018-10-09 18:10:11,2018-10-09 17:41:58,241996426,73082920652,241996426,302,35229,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7988745/SRR7988745.1,SRX4819943,BYOTB,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164755,PRJNA443013,,443013,SRS3894442,SAMN08779384,simple,1647806,lake water metagenome,Gp0217726,,,,,,,no,,,,,JGI,SRA791074,,public,4A9E50A6F846D0B179E95D12A3973089,CBCBBD20C1D89A2795FA319E3E698E6A
SRR7053051,2018-04-22 03:25:12,2018-04-22 02:55:38,239117489,72213481678,239117489,302,35791,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7053051/SRR7053051.1,SRX3984086,BYOTC,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP141840,PRJNA443014,,443014,SRS3208910,SAMN08777100,simple,1647806,lake water metagenome,Gp0217727,,,,,,,no,,,,,JGI,SRA694200,,public,5B5AF2220FD85739476887F7CCF20376,5942ADFC1D33FFFC8408EFE8D4BC121A
SRR7989281,2018-10-09 18:40:41,2018-10-09 18:14:37,170073096,51362074992,170073096,302,21274,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR7989281/SRR7989281.1,SRX4820478,BYOOT,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164761,PRJNA443015,,443015,SRS3894912,SAMN08779385,simple,1647806,lake water metagenome,Gp0217728,,,,,,,no,,,,,JGI,SRA791102,,public,1BEAEA22264F2C58709AE3225E043545,CB2CBAADB499854D27B087E4C676C831
SRR7052952,2018-04-22 02:32:18,2018-04-22 02:00:49,166811288,50377008976,166811288,302,20817,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7052952/SRR7052952.1,SRX3983987,BYOOU,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP141742,PRJNA443016,,443016,SRS3208809,SAMN08777692,simple,1647806,lake water metagenome,Gp0217729,,,,,,,no,,,,,JGI,SRA694199,,public,DABB7244D768B3E36976E436607DF0B3,CADF41B4347CB19BDD60AF61968A88DB
SRR7990334,2018-10-10 01:10:12,2018-10-09 22:59:34,224835707,67900383514,224835707,302,32887,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR7990334/SRR7990334.1,SRX4821474,BYOTG,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164781,PRJNA443017,,443017,SRS3895515,SAMN08779386,simple,1647806,lake water metagenome,Gp0217730,,,,,,,no,,,,,JGI,SRA791241,,public,A5AA86689FFCB0CEA9B45DFE85B82B86,9AE55E5D92EDE73D22AB3E749F30D0F8
SRR7990525,2018-10-10 00:12:48,2018-10-09 22:50:23,152577037,46078265174,152577037,302,18556,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7990525/SRR7990525.1,SRX4821665,BYOOW,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164785,PRJNA443018,,443018,SRS3895524,SAMN08779387,simple,1647806,lake water metagenome,Gp0217731,,,,,,,no,,,,,JGI,SRA791247,,public,9C8AEA7EA436AE3716CC1876BF256925,85F2CEF9A73A6AFEEE1F7AE5A28F2C9A
SRR7053298,2018-04-22 04:49:17,2018-04-22 04:27:15,227490632,68702170864,227490632,302,31752,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7053298/SRR7053298.1,SRX3984333,BYGSX,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP142032,PRJNA443019,,443019,SRS3209157,SAMN08776581,simple,1647806,lake water metagenome,Gp0217732,,,,,,,no,,,,,JGI,SRA694210,,public,27C83F175989F3118BC265F3CE1395DC,591631009509C86D78A91B5F51D9ABDC
SRR7990527,2018-10-10 01:11:15,2018-10-10 00:15:09,227910894,68829089988,227910894,302,31763,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7990527/SRR7990527.1,SRX4821667,BYGSY,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164787,PRJNA443020,,443020,SRS3895604,SAMN08779388,simple,1647806,lake water metagenome,Gp0217733,,,,,,,no,,,,,JGI,SRA791248,,public,36113706D860F534B0A238D35DE350A4,D83F757471F388F21C14D30C561D39D8
SRR7053297,2018-04-22 04:23:11,2018-04-22 03:56:57,161522867,48779905834,161522867,302,20072,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR7053297/SRR7053297.1,SRX3984332,BYOOX,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP142031,PRJNA443021,,443021,SRS3209156,SAMN08776580,simple,1647806,lake water metagenome,Gp0217734,,,,,,,no,,,,,JGI,SRA694211,,public,9B12C5556E303175BC8335493B3D0AFF,939BA7E51CAD9644474C57D998984167
SRR7990526,2018-10-10 01:10:12,2018-10-09 23:42:55,165959187,50119674474,165959187,302,20339,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7990526/SRR7990526.1,SRX4821666,BYOOY,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164786,PRJNA443022,,443022,SRS3895603,SAMN08779389,simple,1647806,lake water metagenome,Gp0217735,,,,,,,no,,,,,JGI,SRA791249,,public,FE40399B7C35F7C576148AC7D8AAF84A,7E2251C19FBDD7286940ABFBDE464568
SRR7990546,2018-10-10 01:10:13,2018-10-09 23:43:31,215832774,65181497748,215832774,302,30267,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7990546/SRR7990546.1,SRX4821686,BYOTH,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164790,PRJNA443023,,443023,SRS3895609,SAMN08779390,simple,1647806,lake water metagenome,Gp0217736,,,,,,,no,,,,,JGI,SRA791250,,public,A5D74DEF3BE8EF9B84E6DF56C2D73746,810475E662CBBA76F2766F16CE0D1D38
SRR7990717,2018-10-10 02:59:16,2018-10-10 02:40:31,139306414,42070537028,139306414,302,16852,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7990717/SRR7990717.1,SRX4821857,BYOOZ,WGS,other,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP164824,PRJNA443024,,443024,SRS3895786,SAMN08779391,simple,1647806,lake water metagenome,Gp0217737,,,,,,,no,,,,,JGI,SRA791262,,public,B92CFB58D44744E34A7F868F24BB2BCA,8A789BA81E4D5F21947DA35F612FC17E

